Date,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée
2018-03-01,Lyon Part Dieu,Paris Lyon,120,664,11,56,23.8827381,2.210030628
2018-03-01,Geneve,Paris Lyon,194,229,3,21,31.8484127,3.684513274
2018-03-01,Paris Montparnasse,Laval,84,218,4,31,18.99462366,3.931853583
2018-03-01,Paris Nord,Dunkerque,120,285,14,39,41.28205128,6.697416974
2018-03-01,Dunkerque,Paris Nord,116,255,9,46,27.19963768,7.155081301
2018-03-01,Paris Lyon,Grenoble,181,259,5,37,35.75675676,7.994094488
2018-03-01,Paris Montparnasse,Bordeaux St Jean,144,760,27,80,23.09583333,2.415507049
2018-03-01,Paris Lyon,Geneve,194,203,3,20,24.04583333,0.9825
2018-03-01,Madrid,Marseille St Charles,481,30,1,5,79.63333333,15.57643678
2018-03-01,Marne La Vallee,Marseille St Charles,217,331,7,52,42.96153846,8.680915638
2018-03-01,Paris Montparnasse,Vannes,151,270,5,31,37.83870968,5.724528302
2018-03-01,Strasbourg,Paris Est,112,505,13,81,29.80205761,5.754031165
2018-03-01,Paris Lyon,Macon Loche,95,224,5,19,31.09649123,3.25304414
2018-03-01,Paris Lyon,Nice Ville,349,203,10,33,39.54242424,8.696545769
2018-03-01,Paris Lyon,Valence Alixan Tgv,130,325,7,37,30.68288288,4.141247379
2018-03-01,St Malo,Paris Montparnasse,156,92,1,8,24.41041667,4.114285714
2018-03-01,Brest,Paris Montparnasse,224,266,6,11,31.19242424,3.705769231
2018-03-01,Chambery Challes Les Eaux,Paris Lyon,187,306,4,77,26.52337662,7.250220751
2018-03-01,Toulouse Matabiau,Paris Montparnasse,257,183,4,29,37.90229885,8.020670391
2018-03-01,Toulon,Paris Lyon,241,276,11,36,31.89953704,4.083647799
2018-03-01,Nantes,Paris Montparnasse,128,517,13,69,26.13091787,5.163359788
2018-03-01,Metz,Paris Est,85,305,10,76,18.10635965,4.989943503
2018-03-01,Macon Loche,Paris Lyon,99,217,2,36,30.21805556,5.377829457
